%time,field.data
1599143619808945647,16
1599143619878794129,17
1599143619940094314,17
1599143620000510595,16
1599143620071123489,16
1599143620132604824,16
1599143620194112718,16
1599143620266276000,16
1599143620328638363,16
1599143620397886068,17
1599143620459257050,17
1599143620520727564,16
1599143620582534468,16
1599143620652796877,17
1599143620717643190,16
1599143620775702604,17
1599143620849012118,16
1599143620909489242,16
1599143620971333280,16
1599143621041691548,17
1599143621104095305,17
1599143621164704888,16
1599143621234581678,17
1599143621295801819,17
1599143621360435124,17
1599143621421831956,18
1599143621506327018,16
1599143621585914228,16
1599143621624328776,17
1599143621684099134,17
1599143621745677995,17
1599143621815784137,17
1599143621877028115,17
1599143621938291021,16
1599143622008384331,16
1599143622068803367,16
1599143622139671662,17
1599143622200902522,17
1599143622261423392,17
1599143622323387967,17
1599143622393504571,17
1599143622454853958,16
1599143622532642449,17
1599143622598152213,18
1599143622658951924,16
1599143622720079828,16
1599143622843434840,17
1599143622868543746,16
1599143622913749045,17
1599143622975078910,16
1599143623036621764,17
1599143623108829685,16
1599143623159354978,16
1599143623231795150,16
1599143623293177603,17
1599143623364218736,17
1599143623424670881,17
1599143623547329443,17
1599143623567490668,16
1599143623617084038,16
1599143623678317682,17
1599143623749263330,17
1599143623872116244,16
1599143623892608266,16
1599143623944266971,17
1599143624006257825,17
1599143624064868417,17
1599143624136981081,16
1599143624198139510,17
1599143624260018747,17
1599143624411529020,16
1599143624432207911,16
1599143624452117561,16
1599143624527234940,16
1599143624588919247,16
1599143624650258034,16
1599143624720078486,17
1599143624784110609,16
1599143624842785196,16
1599143624908162383,17
1599143624978107100,16
1599143625039548858,17
1599143625112651617,18
1599143625170561055,17
1599143625237515105,16
1599143625358105834,17
1599143625378372191,17
1599143625426942633,17
1599143625489058699,17
1599143625559464884,17
1599143625620286798,16
1599143625690633356,18
1599143625751900829,17
1599143625812675268,16
1599143625883003358,17
1599143626034521304,16
1599143626043158451,18
1599143626074188229,16
1599143626138950179,17
1599143626247366642,16
1599143626268105441,17
1599143626328046168,16
1599143626399139839,17
1599143626460506161,17
1599143626521836868,16
1599143626591643780,16
1599143626653017987,16
1599143626722885663,16
1599143626784368091,17
1599143626848405761,17
1599143626911256790,16
1599143626980960676,16
